displayName,logOnId,authenticationMethod,Domain,isDeactivated,isAccountLocked,description,emailAddress
RR - Demo User 19 - SPARE,demo19,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 20 - PLAN.NO,demo20,LOCAL,,FALSE,FALSE,Venture Planner profile (Classic Planner plus DF Unlock),
RR - Demo User 21 - PLAN.HO,demo21,LOCAL,,FALSE,FALSE,Planner profile (Classic Planner plus DF Unlock),
RR - Demo User 22 - DF.SuperUser,demo22,LOCAL,,FALSE,FALSE,Planner Classic (includes DF Unlock); DF Configurer profile; Auditor profiles,
RR - Demo User 23 - SPARE,demo23,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 24 - SPARE,demo24,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 25 - SPARE,demo25,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 26 - SPARE,demo26,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 27 - SPARE,demo27,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 28 - SPARE,demo28,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 29 - SPARE,demo29,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 30 - ECO.NO,demo30,LOCAL,,FALSE,FALSE,Economics Classic (includes DF Unlock),
RR - Demo User 31 - ECOPlusCoder.NO,demo31,LOCAL,,FALSE,FALSE,Economics.plus + regime builder for BO use,
RR - Demo User 32 - ECOCoder.NO,demo32,LOCAL,,FALSE,FALSE,Economics Classic; Economics Regimes profiles,
RR - Demo User 33 - ECOPlus.HO,demo33,LOCAL,,FALSE,FALSE,Economics Classic; PSE Configurer; PSE Unlock profiles,
RR - Demo User 34 - ECOPlusCoder.HO,demo34,LOCAL,,FALSE,FALSE,Economics Classic; Economics Configurer;  Economics Unlock; Economic Regimes profiles,
RR - Demo User 35 - PSE.SuperUser,demo35,LOCAL,,FALSE,FALSE,Economics Classic; Economics Configurer;  Economics Unlock; Economic Regimes; Auditor profiles,
RR - Demo User 36 - PLAN.ECO.NO,demo36,LOCAL,,FALSE,FALSE,Hybrid Classic Planner and Classic Economist profiles,
RR - Demo User 37 - SPARE,demo37,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 38 -SPARE,demo38,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 39 - SPARE,demo39,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 40 - FIN.NO,demo40,LOCAL,,FALSE,FALSE,Financials Classic,
RR - Demo User 41 - FINCoder.NO,demo41,LOCAL,,FALSE,FALSE,Financials Classic;  Regime coder,
RR - Demo User 42 - FIN.HO,demo42,LOCAL,,FALSE,FALSE,Financials Classic; Financials Configurer;  Financials Unlock profiles,
RR - Demo User 43 - FINCoder.HO,demo43,LOCAL,,FALSE,FALSE,Financials Classic; Financials Configurer;  Financials Unlock; Economic Regimes profiles,
RR - Demo User 44 - PSF.SuperUser,demo44,LOCAL,,FALSE,FALSE,Financials Classic; Financials Configurer;  Financials Unlock; Financial Regimes; Auditor profiles,
RR - Demo User 45 - PLAN.ECO.FIN.NO,demo45,LOCAL,,FALSE,FALSE,"Hybrid Demo User.  Triple hatter Planner, Economist, Controller",
RR - Demo User 46 - PLAN.ECO.FINCoder.NO,demo46,LOCAL,,FALSE,FALSE,"Hybrid Demo User.  Triple hatter Planner, Economist, Controller Coder",
RR - Demo User 47 - ECO.FIN.NO,demo47,LOCAL,,FALSE,FALSE,Hybrid Economist/Controller,
RR - Demo User 48 - SPARE,demo48,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 49 - SPARE,demo49,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 50 - PORT.HO,demo50,LOCAL,,FALSE,FALSE,Economics Classic minus Dataflow Unlock Profile,
RR - Demo User 51 - PORT.Petrom,demo51,LOCAL,,FALSE,FALSE,Economics Classic minus Dataflow Unlock Profile,
RR - Demo User 52 - PORT.Superuser,demo52,LOCAL,,FALSE,FALSE,Portfolio Super User,
RR - Demo User 53 - Portfolio.Plus.HO,demo53,LOCAL,,FALSE,FALSE,SPARE Portfolio Demo User,
RR - Demo User 54 - SPARE,demo54,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 55 - SPARE,demo55,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 56 - SPARE,demo56,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 57 - SPARE,demo57,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 58 - SPARE,demo58,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 59 - SPARE,demo59,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 60 - RES.NO,demo60,LOCAL,,FALSE,FALSE,Local QRE Norway,
RR - Demo User 61 - RES.HO,demo61,LOCAL,,FALSE,FALSE,Reserves Head Office Profile,
RR - Demo User 62 - RES.Power.HO,demo62,LOCAL,,FALSE,FALSE,"Reserves Power User.  Unsure whether this user should have DF tag rights of input.approve since only HOD can approve reserves.  However, the user has those rights today in P2V I have retained.  DF tag rights methodology needs to be reviewed post MTP2023",
RR - Demo User 63 - RES.Approver.HO,demo63,LOCAL,,FALSE,FALSE,Reserves Approver HO,
RR - Demo User 64 - RES.PVR.NO,demo64,LOCAL,,FALSE,FALSE,Hybrid user.  QRE profile plus PetroVR profile.  Hybrid of Demo60 & Demo06,
RR - Demo User 65 - SPARE,demo65,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 66 - SPARE,demo66,LOCAL,,FALSE,FALSE,Copy of Andreas Poldehner as he is only member in this profile!,
RR - Demo User 67 - SPARE,demo67,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 68 - Exp.Assurance.HO,demo68,LOCAL,,FALSE,FALSE,Exploration Assurance Classic.  Read only user with Input.Confirm Tagging rights,
RR - Demo User 69 -  Exp.OA.Admin.HO,demo69,LOCAL,,FALSE,FALSE,Exploration Administrator.  Additional rights for Opportunity Assessor Interface for loading scaler data,
RR - Demo User 70 - SPARE,demo70,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 71 - SPARE,demo71,LOCAL,,FALSE,TRUE,SPARE,
RR - Demo User 72 - Exp.Ass.OA.Admin.HO,demo72,LOCAL,,FALSE,FALSE,Hybrid Exploration HO user combining Exploration Assurance and Exploration OA admin,
RR - Demo User 73 - SPARE,demo73,LOCAL,,FALSE,TRUE,SPARE Reserves Demo User - Copy of Reserves.HO.Power,
