LogonId,authenticationMethod,Domain,DisplayName,Description,IsDeactivated,IsAccountLocked
demo44,LOCAL,,ZZ - Demo User 44 - FIN YEM,Local Controller Yemen,FALSE,TRUE
demo17,LOCAL,,ZZ - Demo User 17 - ECO ARE,Local Economist ArabEmirates,FALSE,TRUE
demo18,LOCAL,,ZZ - Demo User 18 - ECO AUS,Local Economist Australia,FALSE,TRUE
demo19,LOCAL,,ZZ - Demo User 19 - ECO AUS (Sapura),Local Economist Australia (Sapura),FALSE,TRUE
demo5,LOCAL,,ZZ - Demo User 5 - ECO AUT,Local Economist Austria,FALSE,TRUE
demo20,LOCAL,,ZZ - Demo User 20 - ECO BGR,Local Economist Bulgaria,FALSE,TRUE
demo21,LOCAL,,ZZ - Demo User 21 - ECO GEO,Local Economist Georgia,FALSE,TRUE
demo22,LOCAL,,ZZ - Demo User 22 - ECO KRI,Local Economist Kurdistan,FALSE,TRUE
demo23,LOCAL,,ZZ - Demo User 23 - ECO LBY,Local Economist Lybia,FALSE,TRUE
demo25,LOCAL,,ZZ - Demo User 25 - ECO MYS,Local Economist Malaysia,FALSE,TRUE
demo24,LOCAL,,ZZ - Demo User 24 - ECO MEX,Local Economist Mexico,FALSE,TRUE
demo26,LOCAL,,ZZ - Demo User 26 - ECO NZL,Local Economist New Zealand,FALSE,TRUE
demo27,LOCAL,,ZZ - Demo User 27 - ECO NZL (Sapura),Local Economist New Zealand (Sapura),FALSE,TRUE
demo9,LOCAL,,ZZ - Demo User 9 - ECO NOR,Local Economist Norway,FALSE,TRUE
demo28,LOCAL,,ZZ - Demo User 28 - ECO ROU,Local Economist Romania,FALSE,TRUE
demo13,LOCAL,,ZZ - Demo User 13 - ECO RUS,Local Economist Russia,FALSE,TRUE
demo29,LOCAL,,ZZ - Demo User 29 - ECO TUN,Local Economist Tunisia,FALSE,TRUE
demo30,LOCAL,,ZZ - Demo User 30 - ECO YEM,Local Economist Yemen,FALSE,TRUE
demo45,LOCAL,,ZZ - Demo User 45 - PP ARE,Local PP ArabEmirates,FALSE,TRUE
demo46,LOCAL,,ZZ - Demo User 46 - PP AUS,Local PP Australia,FALSE,TRUE
demo47,LOCAL,,ZZ - Demo User 47 - PP AUS (Sapura),Local PP Australia (Sapura),FALSE,TRUE
demo6,LOCAL,,ZZ - Demo User 6 - PP AUT,Local PP Austria,FALSE,TRUE
demo48,LOCAL,,ZZ - Demo User 48 - PP BGR,Local PP Bulgaria,FALSE,TRUE
demo49,LOCAL,,ZZ - Demo User 49 - PP GEO,Local PP Georgia,FALSE,TRUE
demo50,LOCAL,,ZZ - Demo User 50 - PP KRI,Local PP Kurdistan,FALSE,TRUE
demo51,LOCAL,,ZZ - Demo User 51 - PP LBY,Local PP Lybia,FALSE,TRUE
demo53,LOCAL,,ZZ - Demo User 53 - PP MYS,Local PP Malaysia,FALSE,TRUE
demo52,LOCAL,,ZZ - Demo User 52 - PP MEX,Local PP Mexico,FALSE,TRUE
demo54,LOCAL,,ZZ - Demo User 54 - PP NZL,Local PP New Zealand,FALSE,TRUE
demo55,LOCAL,,ZZ - Demo User 55 - PP NZL (Sapura),Local PP New Zealand (Sapura),FALSE,TRUE
demo10,LOCAL,,ZZ - Demo User 10 - PP NOR,Local PP Norway,FALSE,TRUE
demo56,LOCAL,,ZZ - Demo User 56 - PP ROU,Local PP Romania,FALSE,TRUE
demo14,LOCAL,,ZZ - Demo User 14 - PP RUS,Local PP Russia,FALSE,TRUE
demo57,LOCAL,,ZZ - Demo User 57 - PP TUN,Local PP Tunisia,FALSE,TRUE
demo58,LOCAL,,ZZ - Demo User 58 - PP YEM,Local PP Yemen,FALSE,TRUE
demo59,LOCAL,,ZZ - Demo User 59 - RES ARE,Local QRE ArabEmirates,FALSE,TRUE
demo60,LOCAL,,ZZ - Demo User 60 - RES AUS,Local QRE Australia,FALSE,TRUE
demo61,LOCAL,,ZZ - Demo User 61 - RES AUS (Sapura),Local QRE Australia (Sapura),FALSE,TRUE
demo8,LOCAL,,ZZ - Demo User 8 - RES AUT,Local QRE Austria,FALSE,TRUE
demo62,LOCAL,,ZZ - Demo User 62 - RES BGR,Local QRE Bulgaria,FALSE,TRUE
demo63,LOCAL,,ZZ - Demo User 63 - RES GEO,Local QRE Georgia,FALSE,TRUE
demo64,LOCAL,,ZZ - Demo User 64 - RES KRI,Local QRE Kurdistan,FALSE,TRUE
demo65,LOCAL,,ZZ - Demo User 65 - RES LBY,Local QRE Lybia,FALSE,TRUE
demo67,LOCAL,,ZZ - Demo User 67 - RES MYS,Local QRE Malaysia,FALSE,TRUE
demo66,LOCAL,,ZZ - Demo User 66 - RES MEX,Local QRE Mexico,FALSE,TRUE
demo68,LOCAL,,ZZ - Demo User 68 - RES NZL,Local QRE New Zealand,FALSE,TRUE
demo69,LOCAL,,ZZ - Demo User 69 - RES NZL (Sapura),Local QRE New Zealand (Sapura),FALSE,TRUE
demo12,LOCAL,,ZZ - Demo User 12 - RES NOR,Local QRE Norway,FALSE,TRUE
demo70,LOCAL,,ZZ - Demo User 70 - RES ROU,Local QRE Romania,FALSE,TRUE
demo16,LOCAL,,ZZ - Demo User 16 - RES RUS,Local QRE Russia,FALSE,TRUE
demo71,LOCAL,,ZZ - Demo User 71 - RES TUN,Local QRE Tunisia,FALSE,TRUE
demo72,LOCAL,,ZZ - Demo User 72 - RES YEM,Local QRE Yemen,FALSE,TRUE
